U$24	-10.10	-0.64	180.00	0.1uF/50V	NORDIC_NRF_3_RESC0201_L
U$25	-12.81	14.70	0.00	0.1uF	NORDIC_NRF_3_RESC0201_L
U$26	-12.81	16.60	0.00	1uF	NORDIC_NRF_3_RESC0201_L
U$27	7.90	10.05	0.00	0.1uF	NORDIC_NRF_3_RESC0201_L
U$28	10.31	10.05	0.00	4.7uF	NORDIC_NRF_3_RESC0201_L
U$29	-7.65	-16.50	90.00	1uF	NORDIC_NRF_3_RESC0201_L
U$3	-7.60	-13.65	90.00	12pF	NORDIC_NRF_3_RESC0201_L
U$30	8.00	-16.50	90.00	1uF	NORDIC_NRF_3_RESC0201_L
U$31	-3.30	-16.40	90.00	1uF	NORDIC_NRF_3_RESC0201_L
U$32	5.20	6.30	90.00	10uH	NORDIC_NRF_2_RESC0402_L
U$33	-3.70	6.20	90.00	15nH	NORDIC_NRF_2_RESC0402_L
U$34	0.75	6.60	0.00	47nF	NORDIC_NRF_3_RESC0201_L
U$35	0.75	5.00	180.00	1uF	NORDIC_NRF_3_RESC0201_L
U$36	3.03	5.00	180.00	N.C.	NORDIC_NRF_3_RESC0201_L
U$37	-1.53	5.00	180.00	100nF	NORDIC_NRF_3_RESC0201_L
U$38	3.03	6.60	0.00	100pF	NORDIC_NRF_3_RESC0201_L
U$39	-1.53	6.60	0.00	N.C.	NORDIC_NRF_3_RESC0201_L
U$4	-5.30	-15.10	90.00	32.768kHz	NORDIC_NRF_1_XTAL_3215_N
U$40	12.10	-11.98	270.00	N.C.	NORDIC_NRF_3_RESC0201_L
U$41	22.40	-8.47	270.00	1pF	NORDIC_NRF_3_RESC0201_L
U$42	7.40	-7.28	270.00	1pF	NORDIC_NRF_3_RESC0201_L
U$43	8.50	1.30	0.00	32MHz	NORDIC_NRF_BT-XTAL_2016_N
U$44	7.50	-1.50	0.00	12pF	NORDIC_NRF_3_RESC0201_L
U$45	9.50	-1.50	0.00	12pF	NORDIC_NRF_3_RESC0201_L
U$46	10.00	-10.88	270.00	3.9nH	NORDIC_NRF_2_RESC0402_L
U$47	-18.90	15.55	0.00		NORDIC_NRF_3_RESC0201_L
U$48	-16.40	15.55	90.00		NORDIC_NRF_3_RESC0201_L
U$49	-14.90	15.25	180.00		NORDIC_NRF_3_RESC0201_L
U$5	0.14	-6.66	0.00	100nF	NORDIC_NRF_3_RESC0201_L
U$50	-17.80	15.55	270.00		NORDIC_NRF_3_RESC0201_L
U$51	-17.10	15.55	270.00		NORDIC_NRF_3_RESC0201_L
U$52	-21.70	-10.60	180.00		NORDIC_NRF_3_RESC0201_L
U$53	-21.70	-8.70	180.00		NORDIC_NRF_3_RESC0201_L
U$54	-21.70	-9.65	180.00		NORDIC_NRF_3_RESC0201_L
U$6	-2.41	-6.66	0.00	4.7uF	NORDIC_NRF_3_RESC0201_L
U$7	-2.41	-10.96	0.00	4.7uF	NORDIC_NRF_3_RESC0201_L
U$8	0.14	-11.06	0.00	4.7uF	NORDIC_NRF_3_RESC0201_L
U$9	0.14	-8.96	0.00	4.7uF	NORDIC_NRF_3_RESC0201_L
U1	-15.61	9.80	0.00	ESP32_C6_LIBRARY_MAX17048G+T10MAX	ESP32_C6_LIBRARY_SON50P200X200X80-9N
